id,FHa,e_FHa,FHalim,FNII,e_FNII,FNIIlim,FHb,e_FHb,FHblim,FOIII,e_FOIII,FOIIIlim,FOII,e_FOII,FOIIlim,CCat,ZFOURGE
5703,0,0.261,0.538,0.654,0.257,0.564,,,,,,,,,,3,1
5711,2.032,0.191,0.214,0.024,0.048,0.15,0.151,0.192,0.347,2.317,0.108,0.22,,,,3,1
5759,5.554,0.114,0.164,0.608,0.072,0.174,,,,,,,,,,3,1
5769,0.532,0.066,0.197,0.114,0.041,0.197,,,,,,,,,,3,1
5817,0.144,0.211,0.602,0.963,0.232,0.873,,,,,,,,,,3,1
5843,,,,,,,0.423,0.113,0.808,2.441,0.164,0.267,,,,3,1
5849,1.339,0.079,0.095,0.108,0.055,0.085,,,,,,,,,,3,1
5858,8.609,0.17,0.276,1.914,0.101,0.206,,,,,,,,,,3,1
5891,5.029,0.14,0.334,1.138,0.075,0.159,0.75,0.041,0.083,1.903,0.054,0.097,,,,3,1
5929,,,,,,,0.014,0.137,2.037,0.505,0.142,0.362,,,,3,1
5930,0.426,0.104,0.364,0,0.108,0.621,,,,,,,,,,0,1
5931,,,,,,,0.356,0.097,0.367,1.277,0.142,0.275,,,,3,1
5941,1.751,0.102,0.17,0.469,0.089,0.202,0.212,0.09,0.976,,,,20.5,0,0,3,1
5964,1.943,0.091,0.262,0.292,0.061,0.15,0,0.038,0.19,0.878,0.104,0.223,,,,3,1
5988,3.974,0.243,0.621,1.065,0.199,0.662,,,,,,,,,,3,1
6001,2.186,0.196,0.753,1.89,0.168,0.413,,,,,,,,,,3,1
6065,3.349,0.053,0.148,0.056,0.034,0.148,,,,,,,,,,3,1
6128,2.828,0.143,0.269,0.118,0.054,0.114,1.177,0.237,0.304,2.728,0.117,0.336,,,,3,1
6154,3.275,0.103,0.154,0.528,0.082,0.175,,,,,,,,,,3,1
6170,2.053,0.104,0.216,0.019,0.035,0.126,0.051,0.061,0.085,0.455,0.067,0.071,,,,3,1
6202,,,,,,,0,0.151,1.058,1.414,0.144,0.247,,,,3,1
6203,2.957,0.07,0.131,1.188,0.059,0.147,,,,,,,,,,3,1
6230,2.206,0.108,0.158,1.101,0.105,0.198,,,,,,,,,,3,1
6255,1.373,0.22,0.625,0.378,0.128,0.37,,,,,,,,,,3,1
6283,0.916,0.135,0.466,0.296,0.082,0.259,0.474,0.053,1.76,1.296,0.095,0.117,,,,3,1
6311,2.152,0.226,0.39,0,0.136,0.437,,,,,,,,,,3,1
6344,0.069,0.047,0.137,0.314,0.074,0.137,,,,,,,,,,3,1
6386,2.164,0.14,0.182,0.143,0.038,0.052,,,,,,,,,,0,1
6405,2.664,0.086,0.132,0.242,0.135,0.416,,,,,,,,,,3,1
6456,2.09,0.161,0.27,0.647,0.137,0.296,,,,,,,,,,3,1
6472,,,,0,0.106,0.301,,,,,,,,,,3,1
6510,0.729,0.145,0.312,0.01,0.111,0.326,,,,,,,,,,0,1
6542,0.082,0.056,0.249,0,0.083,0.249,,,,,,,,,,3,1
6556,2.28,0.17,0.259,0,0.116,0.399,,,,,,,,,,3,1
6594,0,0.094,0.276,,,,,,,,,,,,,3,1
6610,6.241,0.306,0.83,3.863,0.29,0.779,,,,,,,,,,0,1
6669,1.785,0.436,1.066,0,0.145,0.673,,,,,,,,,,3,1
6686,2.045,0.101,0.129,0.214,0.09,0.184,,,,,,,,,,0,1
6702,9.442,0.097,0.343,0.214,0.063,0.343,,,,,,,,,,3,1
6751,,,,,,,0.345,0.084,0.092,2.039,0.111,0.104,,,,3,1
6797,3.736,0.355,1.041,1.496,0.977,0,,,,,,,,,,3,1
6809,,,,0.091,0.087,0.357,,,,,,,,,,3,1
6811,1.838,0.117,0.754,0.373,0.09,0.238,0.078,0.177,1.044,0.145,0.051,0.228,,,,3,1
6820,1.158,0.087,0.113,,,,0,10685.69,0,0.156,0.132,0.532,,,,3,1
6845,,,,,,,,,,,,,1.059,22.097,1.537,3,1
6874,,,,0.141,0.063,0.197,,,,,,,,,,3,1
6938,1.64,0.124,0.289,0.299,0.09,0.289,,,,,,,,,,3,1
6961,2.757,0.093,0.147,0.202,0.047,0.083,,,,,,,,,,0,1
6978,0.681,0.081,0.085,0.135,0.07,0.111,,,,,,,,,,3,1
6997,1.618,0.079,0.24,0.324,0.069,0.149,0.216,0.1,0.156,0.524,0.08,0.071,,,,3,1
7015,0.632,0.114,0.413,0,0.09,0.199,,,,,,,,,,3,1
7071,1.244,0.074,0.093,0.323,0.064,0.096,,,,,,,,,,3,1
7111,1.903,0.084,0.166,0.169,0.036,0.158,0.487,0.054,0.212,1.291,0.057,0.2,,,,3,1
7135,,,,,,,0.536,0.077,0.149,2.849,0.096,0.178,,,,0,1
7281,1.594,0.091,0.18,0.194,0.092,0.217,,,,,,,,,,3,1
7366,3.627,0.061,0.156,0.089,0.027,0.102,0.615,0.182,0.834,3.607,0.14,1.093,,,,3,1
7418,,,,,,,0.888,0.091,0.563,4.41,0.147,0.419,,,,1,1
7423,5.084,0.16,0.314,0.98,0.067,0.138,,,,,,,,,,3,1
7496,8.437,0.258,1,6.595,0.259,1.019,,,,,,,,,,0,1
7522,2.664,0.12,0.159,0.254,0.066,0.078,,,,,,,,,,0,1
7577,0.946,0.089,0.167,0.205,0.069,0.171,,,,,,,,,,3,1
