id,ra,dec,use,z_peak,z_spec,z,ir_agn,xray_agn,radio_agn,agn,agn_class,HR,Av,lmass,lsfr,lssfr,snr,re,e_re,si,e_si,f_U,f_xray,l_xray,f_Hs,e_Hs,w_Hs,SNR_Hs,f_Hl,e_Hl,w_Hl,SNR_Hl,f_J1,e_J1,w_J1,SNR_J1,f_J2,e_J2,w_J2,SNR_J2,f_J3,e_J3,w_J3,SNR_J3,f_Ks,e_Ks,w_Ks,SNR_Ks,f_H,f_J,f_36,e_36,w_36,SNR_36,f_45,e_45,w_45,SNR_45,f_58,e_58,w_58,SNR_58,f_80,e_80,w_80,SNR_80,f_24,e_24,SNR_24,e_U,SNR_U,f_V,e_V,SNR_V,e_J,SNR_J,AB_Hs,AB_Ks,AB_36,AB_45,AB_58,AB_80,AB_24,AB_U,AB_V,AB_J,x_u,x_J1,x_J2,x_J3,x_Hs,x_Hl,x_Ks,x_J,x_H,x_NIR,36_u,45_u,58_u,80_u,24_u,MIR_U,36_J1,36_J2,36_J3,36_Hs,36_Hl,36_Ks,45_J1,45_J2,45_J3,45_Hs,45_Hl,45_Ks,58_J1,58_J2,58_J3,58_Hs,58_Hl,58_Ks,80_J1,80_J2,80_J3,80_Hs,80_Hl,80_Ks,24_J1,24_J2,24_J3,24_Hs,24_Hl,24_Ks,36_J,36_H,36_NIR,45_J,45_H,45_NIR,58_J,58_H,58_NIR,80_J,80_H,80_NIR,24_J,24_H,24_NIR,80_45,58_36,80_36,58_36_80_45,36_45_in,58_80_in,e_80_45,e_58_36,e_80_36,e_58_36_80_45,45_80_in,Ks_45_in,80_24_in,24_58,U_V,V_J,ir_agn_contribution,agn_luminosity,accretion_power,true_agn,log_agn_luminosity,Lacy,Donley,KI,KIM,Lacy_SFG,KI_SFG,KIM_SFG,radio_SFG,xray_SFG,ir_SFG
1354,34.327774,-5.2970428,1,0.9571,-99.0,0.9571,0,-1,-1,0,None,-99.0,0.8,10.01,0.98,-9.03,135.0044,-999.0,-999.0,-999.0,-999.0,2.69127,-99.0,-99.0,24.6613,0.583877,0.34,42.23714926260154,26.39912526,0.6201414972,0.32,42.56951901976348,16.43343682,0.3742799122,0.27,43.90680954103313,18.43932447,0.3231808335,0.29,57.055748852136055,23.47463713,0.4052038,0.27,57.93291457286433,31.99708,0.3995711,0.78,80.07856424050688,25.503881944242426,12.9813,39.91701905600001,0.13486213524,1.09,295.983887434111,30.924476926000004,0.17097861928,1.04,180.86750879276374,18.699328668,3.5459214516,1.0,5.273475152576332,26.591985462,4.8316406024,1.0,5.503717608629888,75.89,10.64,7.132518796992481,0.150496,17.882667977886456,6.21601,0.176819,35.154649670001525,0.142508,91.09172818368091,12.919960084157545,12.637224132149418,12.397104746609745,12.674244093844761,13.220434962404298,12.838123088318373,11.699538617933914,22.82510682431235,21.916220738839392,21.11670453336999,-36.78560679530482,-6.024302833568809,-5.368960243693786,-4.217317586284666,-4.0143869139096475,-3.7501242569580504,-3.0940323304501534,-5.203526887849087,-3.8822555854338487,-4.05993826791103,14.83203805489602,11.490663116669827,6.948142946638576,9.88083152637974,28.19858282520892,10.78791891114604,2.429012232390717,2.164776650085165,1.7004317823932218,1.6186096862695805,1.5120583982561855,1.247520681762211,1.8818021613326774,1.6770938098254533,1.3173569736027695,1.2539678332448008,1.1714205156962842,0.9664780950636747,1.1378830169744127,1.01410052729551,0.7965758347805395,0.7582458616536841,0.7083313740070492,0.5844073480455091,1.6181633673631028,1.4421344721854663,1.1327964438698865,1.0782880651871556,1.0073055527446668,0.8310753813160451,4.618023656965019,4.115660534282036,3.232850824476195,3.077291140369729,2.8747164632378426,2.3717789248268906,2.0980735549563683,1.565334042262883,1.6369760929938206,1.6254176482536333,1.2126941744705424,1.2681966392626167,0.9828531263501542,0.7332886178303666,0.7668496974086766,1.3976980944728183,1.0427968089659112,1.0905234282515914,3.988845005241083,2.9760038018037855,3.1122092439572526,-0.06555159778944446,-0.3293320863178213,-0.17640733668345115,5.024013104541786,-0.2771393472350159,0.38231187408592504,0.18177947033139746,0.18965837081118342,0.18172677755959762,2.832241090461118,-0.16387899447361143,-0.03701996169534283,1.1385844703844583,0.6083585377881533,0.9088860854729575,0.799516205469402,0.0,0.0,0.0,0,,0,0,0,0,1,1,1,0,0,1
1363,34.3905411,-5.2967362,1,2.2602,-99.0,2.2602,0,-1,-1,0,None,-99.0,1.6,11.09,2.04,-9.05,93.25115,-999.0,-999.0,-999.0,-999.0,1.71688,-99.0,-99.0,11.2094,0.54672,0.35,20.502999707345626,13.72333428,0.5569166232,0.34,24.64163163445684,3.1871916120000003,0.352947436,0.28,9.030216080107747,4.270836024,0.3028050837,0.3,14.104241487013056,7.347872044000001,0.3882005119,0.27,18.928032856105055,23.72389,0.4196708,0.66,56.529760945960504,12.448150224927536,19.1068,45.742434866,0.17548530879,1.07,260.66247471883315,57.688832852,0.1928382386,1.08,299.15660540574964,72.238903122,3.5594364047999996,1.0,20.29503969352671,46.14710269700001,4.518726621200001,1.0,10.21241304585607,134.7,12.65,10.648221343873516,0.153219,11.205398808241798,5.71463,0.169376,33.73931371622898,0.316241,60.41847831242628,13.776044082621151,12.962035245792482,12.249201804137149,11.997270618762709,11.753072142467248,12.239638901394983,11.076581010692536,23.31315014613828,22.007529708079964,20.697030105846554,-57.66273705791902,-31.061828735761615,-23.18047320095378,-13.473288512262503,-8.831873249237248,-7.213990272340725,-4.173008726646431,-22.57186348299263,-8.022931760788985,-11.589267990142682,26.64276761683985,33.6009696961931,42.07568561693304,26.87846715961512,78.45626951213829,32.29947252239528,14.351956341054777,10.710417025835222,6.225262850535289,4.080721079272753,3.3331866682475075,1.9281169684229695,18.100208545604065,13.507620645657454,7.851093827784679,5.146469289346441,4.203703828454727,2.431676797186296,22.66537814984686,16.91446422106886,9.831268520930164,6.444493293307402,5.263946913198707,3.044985587186587,14.478923238644619,10.80516845827748,6.280335642845334,4.1168218367620035,3.362674241948146,1.945174366303334,42.26291243138474,31.53949232493408,18.33183800607837,12.016700269416738,9.815398885699954,5.677820964437113,10.429212072475096,3.7069538737601304,5.354760971552732,13.152974339682066,4.675086558900584,6.753245898589648,16.470370297281963,5.854220103253054,8.456525329240534,10.521475779922477,3.739748039355075,5.402132728526962,30.711414254132396,10.916049577558347,15.768428265375952,-0.09694731305290973,0.19845186466796047,0.00382516109686628,-2.047007373578821,0.25193118537444015,-0.4865667589277347,0.09797708975355172,0.04942224716968211,0.09799517370709397,1.0408541119031733,-0.24236828263227395,0.9647646270297727,1.1630578907024471,0.2705964527098853,1.305620438058316,1.3104996022334099,0.01,1.2206317694735025e+36,4.689718267036917e+35,0,36.08658466918233,1,0,0,0,0,1,1,0,0,1
1364,34.3089066,-5.2966008,1,1.4559,-99.0,1.4559,0,-1,-1,0,None,-99.0,0.8,10.35,1.34,-9.01,104.7971,-999.0,-999.0,-999.0,-999.0,2.67993,-99.0,-99.0,20.7219,0.704261,0.23,29.423608576933837,19.87219629,0.7310445858,0.23,27.18328905788061,10.9090871,0.4314744686,0.2,25.28327373667458,12.755741039999998,0.4090224851999999,0.18,31.18591642648403,16.29397783,0.4846990842,0.18,33.6166878814994,24.52128,0.4099642,0.73,59.813222715544434,20.297048145,11.4823,34.324988003,0.14689606602,1.04,233.6685313160574,37.800445676,0.17259241874,1.07,219.015678393986,32.784613341,3.6283942472999993,1.0,9.035570863170683,22.701534842999997,4.5311062254,1.0,5.010152866366742,71.13,12.02,5.917637271214642,0.0575479,46.56868452193738,5.61515,0.0364893,153.884837472903,0.0368524,311.57536551215117,13.108926066129166,12.926142158953814,12.560974014705934,12.456257699250422,12.61082483500055,13.009861948282438,11.769867978255373,22.829691374079857,22.026596594364648,21.249927776086402,-36.941263391207976,-9.075003168688605,-7.761211182443385,-6.075864410329814,-4.777554181807653,-4.981834848814287,-4.037309634733586,-7.637359587153934,-4.87969451531097,-5.5181212457328295,12.808165886049263,14.10501232345621,12.233384208169614,8.470943212322709,26.541738030470942,11.904376407499448,3.146458332246701,2.690944249758774,2.106605787802278,1.6564594946891935,1.7272870850351287,1.3998040886527947,3.4650420635105204,2.9634064816355044,2.3199028543173124,1.824178558722897,1.902177551206143,1.5415363992418014,3.0052572722606636,2.570184926002543,2.012069347525312,1.58212390470951,1.6497730226979352,1.336986215279137,2.080974753882018,1.7797111725466637,1.3932469455802616,1.0955334618447148,1.1423767414386785,0.9257891448978193,6.520252276654753,5.576312640476747,4.3654165202702995,3.432600292444225,3.579372856526871,2.9007458011979796,2.6480027899359175,1.6918732898621611,1.913226722816958,2.9161171331544455,1.86317805496452,2.106943862453589,2.5291705152628396,1.6159484637037225,1.8273683980818998,1.7513109573363144,1.1189551016416965,1.2653517346252767,5.487327145800599,3.505986574485548,3.964686507161375,-0.2214416996128066,-0.019940328117846306,-0.17955517343060143,0.09004775592272007,0.10471631545551219,-0.3990371132818886,0.19964692554202798,0.1107564043932756,0.199640582743093,5.627087708550614,-0.5536042490320163,0.4698844597033922,1.239993970027065,0.3363827426980712,0.8030947797152095,0.776668818278246,0.3,3.850365546433211e+37,1.4793265331497991e+37,0,37.58550196256373,0,0,0,0,1,1,1,0,0,1
1445,34.3444939,-5.2966642,1,1.9885,-99.0,1.9885,0,-1,-1,0,None,-99.0,1.3,10.62,1.57,-9.05,67.97363,-999.0,-999.0,-999.0,-999.0,1.19383,-99.0,-99.0,8.6105,0.460717,0.37,18.6893472565588,8.942876118000001,0.4768597035,0.36,18.753683845294763,2.304885026,0.2926506128,0.3,7.875893386818837,4.20022638,0.2573924849999999,0.31,16.318372232196296,6.39285352,0.323032949,0.29,19.79009738724826,12.86051,0.3063917,0.78,41.97408089057243,8.774411510246576,9.88977,26.05843814,0.1503788991,0.9,173.2852035488801,32.026156792,0.15782711056,1.01,202.91923661508613,32.611241621999994,3.3578062490999994,1.0,9.712067702161452,24.710120872,4.8420199532,1.0,5.103267047809157,119.0,10.75,11.069767441860465,0.123083,9.69938984262652,3.27157,0.0562771,58.13323714263884,0.212038,46.64149822201681,14.062429072313567,13.626854521415577,12.86012904518741,12.636237936213536,12.616581664490939,12.917812825495789,11.211132596518672,23.707643779579293,22.61310945725976,21.412034520979837,-82.9263798028195,-42.95225092932683,-23.57015813990483,-15.486042295553801,-11.497590151559143,-11.070264050816407,-7.69798398352787,-27.336150454928486,-11.283927101187775,-15.439353846548043,21.827595336019368,26.82639638139434,27.316486955429163,20.698190589949995,99.6791838033891,24.167167315698215,11.305743169854756,6.204055634734621,4.076182577698105,3.02635597700482,2.913876676380456,2.026236761994664,13.894904271029787,7.624864446473002,5.009680996413633,3.7194305547877593,3.5811920426291652,2.4902711317047306,14.148749830960112,7.764162850193801,5.101202697664813,3.787380712153765,3.6466167250557,2.5357658150415494,10.720760729173135,5.883045016254576,3.8652724944650383,2.869766084664073,2.7631066947538363,1.9213950980171084,51.62947333929185,28.331806248976513,18.614535688594973,13.820335636722605,13.306681030779318,9.25313226302845,7.19532712742916,2.9701163266926383,4.063893405372155,8.843149904638807,3.6503112987084623,4.994577445017334,9.004705126272908,3.7169987186047324,5.085823219973064,6.82302607996425,2.8164363897089544,3.853619189230104,32.858605092287775,13.563508333750962,18.55841522968906,-0.11262995571290141,0.09741895227858857,-0.02307351212335135,-0.8649470885606461,0.22389110897387354,-0.3012311610048499,0.1960148632399058,0.10312627720228934,0.1960378618081372,2.0370076284096563,-0.28157488928225227,0.9906165852020408,1.7066802289771168,0.5621796271889069,1.0945343223195323,1.2010749362799231,0.6,3.138833708489598e+37,2.214395503398752e+37,1,37.49676830792738,1,0,0,0,0,1,1,0,0,1
1469,34.298336,-5.2928848,1,0.4206,-99.0,0.4206,0,-1,-1,0,None,-99.0,2.2,10.3,1.13,-9.17,2110.34,-999.0,-999.0,-999.0,-999.0,7.12947,-99.0,-99.0,279.777,0.375183,0.72,745.7080944499085,315.793458,0.4044644307,0.67,780.7694176060461,139.56067000000002,0.2279174034,0.64,612.330027975389,157.0427901,0.2078127260999999,0.63,755.69380685777,213.6513393,0.2463018063,0.6,867.4371597574434,428.5327,0.4597736,0.8,932.0515575491937,297.13745097841723,123.985,337.25797623,0.14854721924,0.91,2270.3755610874805,329.77499198,0.16701928936,1.04,1974.472489038017,289.3508028,3.4633333061999996,1.0,83.5469119538709,681.56311185,4.088842172300001,1.0,166.68853507412743,1160.0,11.54,100.51993067590989,0.436964,16.315920762351134,28.4216,0.624857,45.48496696044055,2.66118,46.59023440729301,10.282969977502297,9.82004008203159,10.08009442592137,10.104455703876166,10.246438270886074,9.316234807169987,8.738855026932702,21.76735688526892,20.265878692550952,18.666577134095974,-13.886025188408114,-0.7093689074436228,-0.6304014335007666,-0.4633717734902119,-0.3538532474077569,-0.31349604462040503,-0.23102087658654755,-0.6010473714782004,-0.333674646014081,-0.388580964692943,47.30477528203358,46.25519035496327,40.58517713097888,95.59800544079714,162.70494160154962,57.43578705219322,2.4165689103527517,2.147554663383429,1.5785437027213618,1.2054528293247837,1.0679701168160363,0.7870063970147436,2.3629507652836574,2.099905330069655,1.5435194230958889,1.178706584100909,1.0442742989945029,0.7695445224600129,2.0732976045471836,1.8424965744415924,1.3543130773156824,1.034219406169914,0.9162659816721093,0.6752128899381541,4.883633131382932,4.3399834619341755,3.1900717968024463,2.4360941458733207,2.1582559568095934,1.5904576520064866,8.31179729933942,7.38652184707969,5.42940663887521,4.1461592625555355,3.6732869874714127,2.706911281216113,2.047555758819181,1.13671147307041,1.3237578763014448,2.0021251728164002,1.1114904415477058,1.2943867122747064,1.7567024187681526,0.9752426939210116,1.135719334209106,4.137896130039851,2.297175051341457,2.675176277795932,7.042575261764774,3.909723125013474,4.553069889331454,0.31528835868247107,-0.06653753798588079,0.30554384750055297,-0.21103709082037872,-0.024361277954795924,0.9302034637160865,0.006020553204059368,0.011977424663501697,0.006015360004699443,0.18102001867768153,0.7882208967061786,-0.2844156218445768,0.5773797802372851,0.6030332975813483,1.5014781927179683,1.5993015584549788,0.2,4.669283128422142e+36,3.2941023717529357e+36,0,36.66925020877411,1,0,0,1,0,1,0,0,0,1
1491,34.3192902,-5.2958541,1,0.9837,-99.0,0.9837,0,-1,-1,0,None,-99.0,1.5,9.76,-0.55,-10.3,127.0314,-999.0,-999.0,-999.0,-999.0,1.18261,-99.0,-99.0,14.7883,0.536944,0.25,27.541605828540778,16.20351972,0.6213152007,0.2,26.079387244581216,8.464279714,0.3618047074,0.18,23.39460913824473,10.372614209999998,0.2872126341,0.23,36.11475603259334,11.72260702,0.3875753985,0.18,30.246003913997136,21.27884,0.320781,0.77,66.33447741605644,15.417286542222222,8.5722,30.253321947,0.12250593945,1.13,246.9539198084979,25.450228454000005,0.15249591294,1.08,166.89121671092573,19.334255973,3.3651606323999994,1.0,5.74541844655154,20.397525961,4.0743524803,1.0,5.006323350673406,64.96000000000001,9.368,6.934244235695987,0.134157,8.815119598679159,3.33466,0.217121,15.358532799683125,0.0708002,121.07592916404192,13.475204369445489,13.080130127423956,12.69806732740144,12.885770787162233,13.184181339820027,13.126056263622065,11.8683849594172,23.717896132455976,22.59237109975933,21.56726926221507,-83.71314296344526,-11.696210823025266,-9.544363455121697,-8.445220404564923,-6.6944814481718655,-6.109783658781513,-4.652509253323959,-9.895264894237295,-6.402132553476689,-6.983302233679314,25.58182490170048,21.520390030525707,16.348801357167623,17.247888958321003,54.929351180862675,20.174726311928705,3.5742346625148405,2.9166535392624042,2.580767392047234,2.04576063151275,1.8670833540973406,1.4217561646687509,3.006780176688287,2.453598286675313,2.1710382690965617,1.7209705276468563,1.5706605042475306,1.196034579610543,2.284217514813571,1.863971375158279,1.649313667174352,1.3074022012672182,1.1932133454397402,0.9086141901062277,2.409835999070576,1.9664788015865098,1.7400161863482821,1.379301607419379,1.2588330383443382,0.9585826088734161,7.674604596603246,6.26264494994652,5.541429469500378,4.392661766396409,4.009005519943911,3.0527979908679237,3.023885197941493,1.9564219928050455,2.1340211184717632,2.5438055774867205,1.6458155159471934,1.7952185576814854,1.9325008523820675,1.2503077733534793,1.3638076052805914,2.038776995668456,1.3190673228818586,1.4388089758079101,6.492893005350048,4.20083364317016,4.582174879796043,-0.09611419058393306,-0.1944456049674349,-0.17119557448825062,2.0230686414367978,-0.18770345976079383,0.058125076197962144,0.19983723672790035,0.17409882433300286,0.1997884259279274,2.2637569751769067,-0.24028547645983167,0.1943593402617232,1.2576713042048642,0.5263185521611302,1.1255250326966468,1.025101837544259,0.1,3.131206643093818e+34,1.7495430123053285e+34,0,34.495711729703785,0,0,0,0,1,1,1,0,0,1
1501,34.3043556,-5.2959113,1,2.2134,-99.0,2.2134,0,-1,-1,0,None,-99.0,1.1,10.91,0.99,-9.93,52.12954,-999.0,-999.0,-999.0,-999.0,0.621201,-99.0,-99.0,5.09513,0.467048,0.43,10.909221322005447,5.743732653,0.4907983374,0.42,11.702836410219675,0.9579328648,0.2918021914,0.36,3.2828158699016536,1.472759442,0.2629130993999999,0.36,5.601696702678637,3.0356178650000003,0.3179434671,0.34,9.547665478672137,11.02588,0.3255267,0.77,33.870892925219344,5.415616016776472,9.70399,23.442184927,0.12983068308,0.95,180.55966718248894,29.792770504000003,0.15551627336,1.06,191.57333094674667,39.04840442399999,3.5346742959,1.0,11.047242590157087,31.812636275000003,3.9034670515,1.0,8.149841116956589,179.0,10.52,17.015209125475288,0.0709818,8.751553215049492,2.29491,0.0867757,26.446459089353354,0.272127,35.659783850922544,14.632111826708956,13.793966846171308,12.975004780961132,12.714722771951262,12.420991768359759,12.643500849846735,10.767867422550266,24.416919634555523,22.998085854042063,21.432624149208575,-159.36870674709152,-103.34753471546205,-67.22075389688793,-32.61280055749046,-19.43031875536051,-17.236178280040846,-8.97887515554314,-67.72702972328015,-18.333248517700678,-31.679717798841324,37.73687570850659,47.959952582175504,62.859532460507936,51.21150203396325,288.15150007807455,49.94196569628832,24.471636571206197,15.917185290739422,7.722376784404646,4.6009002571082585,4.081350289651095,2.1261055740675574,31.101104888201352,20.22921711066511,9.814400833353904,5.847303308060835,5.187005089528146,2.702076433264284,40.763195270633744,26.513769533857104,12.86341237947616,7.663868129763125,6.79843697174949,3.5415227105682257,33.20967203859525,21.600700948009948,10.47978951560163,6.24373397244035,5.538669397919137,2.885269590726545,186.86069408149197,121.54055502568626,58.96657878576557,35.13158643645991,31.16440315280113,16.23453184689113,16.037066215450086,4.341125273379676,7.501432354299108,20.381574277406788,5.51715419879449,9.533601636488521,26.713459061322336,7.231152550756308,12.495378107548957,21.763387500735607,5.891201685179744,10.1799529255473,122.45594263098127,33.14799479463052,57.27948975750096,0.028488768841811195,0.22160520504054965,0.13260157244575912,7.7786866210698955,0.2602820090098703,-0.2225090814869759,0.12281276059089806,0.09068959459336658,0.12282670564676627,4.330299670257514,0.07122192210452738,1.0792440742200462,1.875633427296469,0.6612497383237969,1.4188337805134594,1.5654617048334885,0.1,7.043326680377032e+35,8.071090535867184e+35,0,35.84777783210876,1,0,1,0,0,0,1,0,0,1
1509,34.3629112,-5.2947836,1,1.4479,-99.0,1.4479,0,-1,-1,0,None,-99.0,1.1,10.77,1.5,-9.27,229.3621,-999.0,-999.0,-999.0,-999.0,3.29794,-99.0,-99.0,37.8573,0.450097,0.52,84.10920312732588,39.75132105,0.475003494,0.48,83.68637610484608,18.884558280000004,0.2769915026,0.45,68.17739209592635,21.749844689999996,0.2537141291999999,0.43,85.72579208962716,25.56764711,0.3111303419,0.41,82.17664324817817,51.13906,0.4199744,0.81,121.76708866064217,38.76643010400001,26.5356,82.963201202,0.17838486196,0.97,465.07982959116333,87.12221597800001,0.20787740862,1.01,419.10381968085557,66.847558935,3.5818400042999996,1.0,18.662910363039522,49.52871377500001,4.439981693,1.0,11.155161710032756,73.89,10.38,7.118497109826589,0.163567,20.162624490270044,9.91519,0.121813,81.39681314802198,0.289555,91.64269309802972,12.454625908373446,12.12811814778266,11.60278624673252,11.549677716774584,11.837286117991368,12.162857375464469,11.728535833603084,22.60439312453799,21.40924739800853,20.340427720082424,-30.018738970387574,-5.242378377727137,-4.5517566406125916,-3.8720809769499356,-2.6150834845591207,-2.490483269108864,-1.9358979222535573,-4.555405331763222,-2.5527833768339923,-3.0146955436169236,25.156067485157397,26.417162221871838,20.269489115932974,15.018076064149136,22.40489517698927,21.71519872177784,4.393176688165564,3.814427292905879,3.244850840011457,2.1914716897929853,2.0870551974272056,1.6223059477823798,4.613410315785263,4.005647728512586,3.407517930890279,2.3013320014369754,2.1916810228373533,1.7036335039791504,3.5397999754008533,3.0734729322336145,2.614536982906598,1.7657772460001107,1.6816437081655176,1.3071722267675627,2.6227096784918813,2.2771985032965314,1.9371635396058158,1.3083002162066497,1.245963969667871,0.9685104453425621,3.912720589194527,3.3972656381299435,2.8899804382508156,1.9518032189300345,1.8588061490348884,1.4448838128819732,3.8174849403609667,2.1392634436100955,2.526351443917814,4.008858658396043,2.2465065121371643,2.6529995581707855,3.075936630180355,1.7237104770828142,2.0356064446769104,2.2790239071314096,1.2771320929372605,1.5082221484704108,3.3999888885250953,1.9053046839824614,2.250059128463177,-0.24527186347595437,-0.09379994850353895,-0.22402845149277908,0.3824325675771399,0.05310852995793702,-0.3255712574731007,0.08967634783927989,0.053625335008707725,0.08967038185577864,0.6786146595000502,-0.6131796586898854,0.578440431008076,0.43432154186138483,0.04350011375531388,1.1951457265294572,1.0688196779261077,0.0,0.0,0.0,0,,0,0,0,0,1,1,1,0,0,1
1511,34.3896141,-5.2936282,1,0.3309,-99.0,0.3309,0,-1,-1,0,None,-99.0,0.5,10.22,-99.0,-99.0,1676.506,-999.0,-999.0,-999.0,-999.0,6.58104,-99.0,-99.0,296.722,0.412298,0.62,719.6784849793111,329.8696272,0.4392494865,0.55,750.9846621072829,190.57859460000003,0.256562218,0.53,742.8162887179282,208.70920979999997,0.2302412489999999,0.52,906.4805316444407,244.6504481,0.2868170958,0.48,852.9841898636225,383.5157,0.4886013,0.74,784.9256643402299,312.3042179145299,115.784,199.58218356,0.15942748496,1.02,1251.8681054905603,171.72969254,0.18569787446,1.04,924.7800656813183,112.6966569,3.5518916385,1.0,31.728630366548273,80.44215482700001,4.5349736636,1.0,17.738174638734854,21.01,10.14,2.071992110453649,0.965606,6.815450608219087,36.3205,2.00728,18.09438643338249,3.39805,34.073659893174025,10.219125630969,9.940542131544339,10.649695575544097,10.812886519066339,11.270222417325218,11.636290760872559,13.093934868985118,21.854263673802894,19.999620453671277,18.740878627251245,-15.043215054155574,-0.5194707212936913,-0.47434418488225244,-0.40465897679261187,-0.33364563463443897,-0.30011856756965466,-0.2581380631875045,-0.46615796098951856,-0.31688210110204684,-0.3470593750930233,30.326845538091245,26.094613091547842,17.124444905364502,12.223319540224647,3.192504528159683,21.44230576880706,1.0472434429422535,0.956269173513013,0.815785072580049,0.6726234777333666,0.6050335256813241,0.5204015991001151,0.9010964368817943,0.8228179901814761,0.7019390067489518,0.5787561843745999,0.5205986801442627,0.4477774770107195,0.5913395317902086,0.5399697359210643,0.4606435744353741,0.3798055314402033,0.3416399923102711,0.29385148222093643,0.42209438576162106,0.38542695314732595,0.32880444508370393,0.27110276564258806,0.24386044726157197,0.20974931359263785,0.11024323085232783,0.10066637701390024,0.08587762729709875,0.07080701801686429,0.06369182933978228,0.05478263340979262,0.9397658963451052,0.6388285017073454,0.6996653323841886,0.8086178112707407,0.5496774322594313,0.6020242401802972,0.5306509473822157,0.3607227618752372,0.3950750638261298,0.3787752613308837,0.25748160645208,0.2820020604585338,0.0989290783877756,0.06724942367832329,0.07365371182529717,-0.32936169672248766,-0.24821073671244823,-0.39463807413138463,0.753611422282612,-0.16319094352224184,-0.3660683435473402,0.056385956175008536,0.03152739724550383,0.056381245577178545,0.21317219676510574,-0.8234042418062195,-0.8723443875220003,-1.457644108112559,-0.7294849806639596,1.8546432201316172,1.2587418264200316,0.2,2.014040706120087e+37,2.307929990994956e+37,0,37.30406824390612,0,0,0,0,1,1,1,0,0,1
1512,34.3777657,-5.293602,1,0.5662,-99.0,0.5662,0,-1,-1,0,None,-99.0,0.1,10.73,0.59,-10.14,678.0486,-999.0,-999.0,-999.0,-999.0,10.3058,-99.0,-99.0,148.736,0.475167,0.63,313.01837038346514,166.1767677,0.5043357405,0.57,329.4963143703674,100.20445772,0.294115974,0.54,340.697094269351,108.2650401,0.2677919012999999,0.52,404.28795484264344,125.4594449,0.3250457327,0.5,385.97474840807223,187.8646,0.4786167,0.8,392.515764702736,157.02036465749998,65.8714,108.97923222,0.15126988542,0.97,720.4291317959273,113.85724126,0.18220081432,1.04,624.8997387027705,77.84526810899999,3.5912886005999995,1.0,21.6761382240331,256.94627853000003,4.8526601607,1.0,52.94957199165072,208.8,11.350000000000001,18.396475770925107,0.618685,16.657588271899268,28.9189,0.415543,69.59303850624364,0.201508,326.89223256644897,10.968959755744548,10.715387619640378,11.306640640276688,11.25909835818088,11.671919453134883,10.375394170045187,10.600673764174438,21.36729572487443,20.24704557624941,19.3532577654203,-9.606241145762581,-0.987979998620764,-0.9144226050122712,-0.7890996176406644,-0.6656088640275387,-0.5957511472285064,-0.5269752790041339,-0.8971674070912332,-0.6306800056280226,-0.6849408972411299,10.574553379650295,11.047879956917464,7.553539570824195,24.93220114207534,20.2604358710629,13.527043512366824,1.0875687040243185,1.0065967012005015,0.8686411159149008,0.732702454146945,0.6558030567590586,0.5800945586342504,1.136249263262816,1.0516528803280794,0.9075222782210796,0.7654988789533133,0.6851573949587659,0.6060601159558533,0.7768643220097254,0.719024978304146,0.6204815282822919,0.5233787926863704,0.4684485634570445,0.4143690088978977,2.564220039471514,2.373307932945568,2.0480425266890374,1.727532530994514,1.5462226283873015,1.36772057391334,2.0837396334547025,1.9286004032986086,1.6642828299330377,1.4038296041308091,1.2564933287001225,1.1114387702632642,0.9876021737132404,0.6942527554530018,0.7539831626001642,1.0318081406039916,0.7253281369560396,0.7877321311719615,0.7054569428653878,0.4959136780717075,0.5385798766116644,2.32852349970204,1.6368775796909079,1.7777072177687625,1.8922076222287831,1.3301614664154657,1.4446026196358377,0.35348167525427776,-0.14611152514327772,0.37249858809260045,-0.41334964546089153,0.04754228209580802,1.2965252830896965,0.018953569871624137,0.04615455601741776,0.01893683459013668,0.32040428744550764,0.8837041881356935,-0.5437107385405024,-0.22527959412925114,0.428498275584178,1.120250148625022,0.8937878108291102,0.1,7.079316069462116e+36,2.719902817489724e+36,0,36.84999130266067,0,0,0,0,1,1,1,0,0,1
